IID	Sex	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
HG01602	2	-0.00984215	0.0260385	0.0101009	-0.0193246	-0.00722817	0.00151502	0.0242134	0.00591202	0.00456495	-0.000754772
HG01605	2	-0.0105341	0.0270695	0.0109332	-0.0200225	-0.00416351	0.00147967	0.0225072	0.00621999	0.00128123	0.00194557
HG01608	1	-0.0100855	0.026625	0.0112615	-0.02062	-0.00505333	0.00066839	0.02432	0.00662608	0.0010993	0.00245834
HG01612	2	-0.00944081	0.0266423	0.0105747	-0.0213963	-0.00563363	-0.000809828	0.022268	0.00309709	-0.00288252	-0.00187734
HG01630	1	-0.00858677	0.0256747	0.00959951	-0.020494	-0.00484564	0.000965008	0.0335519	0.00636916	0.00386957	-0.0032716
HG01676	2	-0.0105403	0.0273079	0.0127593	-0.0214084	-0.00415248	0.00119294	0.0251261	0.00554058	0.00490702	-0.00188496
HG01678	1	-0.0104296	0.0264727	0.0105713	-0.0213005	-0.00533033	0.00210295	0.0250381	0.00521646	0.0026402	-0.00028985
HG01680	1	-0.0101728	0.0268528	0.0118957	-0.0208416	-0.00351464	0.000825726	0.0205967	0.00524616	0.00264566	-0.0013575
HG01684	2	-0.0105262	0.0270419	0.0116094	-0.020595	-0.00238098	3.85141e-05	0.0213405	0.00835063	0.00338393	0.000922261
HG01694	1	-0.00847811	0.0256111	0.00954005	-0.0194014	-0.00384346	0.00201545	0.0298984	0.00582304	0.00384413	-0.00240153
HG01699	1	-0.00961649	0.0262146	0.00968233	-0.0202963	-0.00553267	0.00140219	0.0281343	0.00810894	0.000404396	-0.0033199
HG01700	1	-0.011069	0.0276541	0.0124551	-0.0210537	-0.00375919	-0.000134228	0.0235077	0.00630646	0.0109581	-0.00113794
HG01756	1	-0.0101108	0.0260127	0.0104302	-0.0208809	-0.00419246	0.00111142	0.0252137	0.00800102	-0.000578634	0.000407977
HG01766	2	-0.00983469	0.026131	0.00969746	-0.0193748	-0.00366683	0.000298048	0.0276439	0.00731955	0.000492775	0.000757714
HG01779	2	-0.0104883	0.0270137	0.0107131	-0.021334	-0.00445134	0.000916639	0.0216229	0.00543149	0.00300286	0.00195061
HG01786	2	-0.010522	0.026868	0.0102554	-0.0199545	-0.00320623	0.0014312	0.0219888	0.00637312	-0.00213041	0.00342775
HG01789	1	-0.0113148	0.0270922	0.0109601	-0.0193267	0.000260399	-0.000674355	-0.0072821	-0.00137459	0.00246045	0.00776178
HG01794	2	-0.0152326	-0.0348181	0.0030176	-0.0184262	-0.052048	-0.00144681	-0.00973265	-0.0038832	0.00210133	0.000202392
HG01798	2	-0.0153116	-0.0337295	0.00484896	-0.0142742	-0.0061313	-0.000340989	0.000556972	0.000600396	-0.00254842	0.0015262
HG01800	2	-0.0151368	-0.0341532	0.0033112	-0.0165242	-0.0482955	-0.00151521	-0.00739566	0.000876272	0.00172392	-0.00181294
HG01817	2	-0.0148965	-0.0340354	0.00143228	-0.0182671	-0.0523392	-0.000989741	-0.00821025	-0.00124353	0.00474924	-0.00304777
HG01859	2	-0.0152328	-0.033667	0.00385795	-0.0168924	-0.0388809	-0.00243	-0.00673989	-0.00136225	-0.000398521	0.00218471
HG01865	1	-0.0151577	-0.0331082	0.00206839	-0.0171402	-0.0408249	-0.00105001	-0.00800725	-0.00183248	-0.00130272	-0.000681225
HG01871	2	-0.0150844	-0.0331973	0.00138861	-0.0161871	-0.0386706	-0.000995812	-0.00692368	-0.00139046	0.00412758	0.00273888
HG01873	1	-0.0151459	-0.0329747	0.00275732	-0.0158257	-0.0373429	-0.000628783	-0.00463608	-0.00165564	-0.000992584	-0.00150165
HG01879	1	0.0274762	0.000549818	0.00114085	-0.00252613	-6.57898e-05	0.0025723	-0.00388879	0.0155289	-0.00260806	0.0140761
HG01896	2	0.0337132	-0.00347996	-5.67072e-05	-0.000867276	0.00201957	0.00534623	-0.00896057	0.0211707	0.000709823	0.0126235
HG01917	1	-0.014179	-0.00760507	0.0504949	0.0814325	-0.00601272	-0.00128224	-0.0141599	-0.00309195	-0.00753835	0.00390266
HG01923	1	-0.015249	-0.0112815	0.0544009	0.088492	-0.00578801	5.60638e-05	-0.0174623	-0.00312926	-0.00383105	0.00306993
HG01932	1	-0.0145239	-0.0041362	0.0474566	0.0741687	-0.0068184	0.000267063	-0.00861237	-0.000697702	-0.000841592	0.00458704
HG01933	2	-0.00967787	-0.0047831	0.0383845	0.0554973	-0.00523821	0.000872657	-0.00600196	-0.000873472	-0.00388008	0.000618361
