IID	Sex	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
HG00310	1	0.0706168	0.00492115	-0.00501248	0.0199047	-0.00973327	-0.044215	-0.0314292	-0.0743167	-0.0686268	0.00038751
HG00311	1	0.0561464	0.00123094	0.0234899	0.0261659	0.017058	0.0551896	-0.0826345	-0.00367446	0.0246315	0.0330365
HG00313	2	0.0893861	0.0507319	0.000892459	0.00518823	-0.0156586	-0.00484536	0.00800398	0.0113544	-0.0371393	0.0357361
HG00315	2	0.0818218	0.0316957	-0.00835447	0.035486	-0.0201511	-0.017783	0.0117253	0.032017	0.0231303	-0.00975521
HG00318	2	0.0753601	0.015023	-0.00804594	-0.0119921	-0.0183708	0.0280587	-0.0060966	-0.00576787	-0.00592196	0.0175686
HG00319	2	0.0864194	0.0249153	0.000747799	0.0220953	0.0227448	-0.0331058	-0.00782572	-0.051551	0.0379811	0.00181387
HG00320	2	0.0727752	0.018179	0.0209642	-0.00261168	0.0330519	0.00336561	0.0036359	0.0881065	-0.0704634	0.0646462
HG00321	1	0.0844086	0.0451562	-0.00449666	-0.0163458	-0.0583587	-0.013029	0.0601894	-0.00152327	0.0392206	0.0771715
HG00323	2	0.0995459	0.0560588	-0.000183463	-0.0135594	0.00440425	0.00926023	-8.59642e-05	0.0346182	0.0289356	0.0447511
HG00324	2	0.10019	0.0562579	0.0221732	-0.00383365	-0.0131008	-0.00879836	0.0261115	-0.0453844	0.0415618	-0.0114193
HG00325	1	0.101073	0.0524968	-0.00603462	-0.00101167	-0.0347642	0.024842	-0.0603172	-0.0414991	0.0112644	-0.026448
HG00326	2	0.0831093	0.0259981	-0.00505741	-0.00164129	-0.0332098	-0.0197954	0.022141	0.0116633	-0.0274097	-0.0211304
HG00327	2	0.0860203	0.0288079	0.00959053	0.00595134	-0.00718993	-0.0362596	-0.0806248	-0.0397057	-0.0519266	-0.0830912
HG00328	2	0.0810322	0.0248574	0.0267345	-0.0304686	-0.00578117	-0.025747	-0.0191095	-0.0793695	0.0179099	-0.00875692
HG00329	1	0.0697524	0.023884	-5.33712e-05	0.0082927	0.0166391	-0.0100224	0.0208971	-0.0142141	0.00484619	-0.0111548
HG00330	2	0.0727686	0.013964	0.026201	-0.0211629	-0.00863437	-0.0025115	0.0157305	0.0144647	-0.0129663	0.00477053
HG00331	2	0.0708966	0.0234465	-0.0148216	0.0074625	0.0393482	0.0349707	-0.0153572	0.0476608	-0.0600217	0.00811949
HG00332	2	0.0698078	0.0218866	0.00921989	0.0274442	0.00744085	0.0055179	0.00600857	0.0521697	0.0393219	-0.0151471
HG00334	2	0.0714933	0.017523	-0.000261884	0.0123761	-0.0191304	-0.0359928	0.000484086	-0.0769664	0.0526717	0.0431365
HG00335	1	0.0796035	0.0235625	-0.0072256	-0.0331083	0.0263698	-0.0120902	-0.021834	0.0159381	0.000844237	-0.0142435
HG00336	1	0.0841938	0.0466704	0.0037093	0.0373954	0.0186251	0.0259854	-0.00192149	-0.00204474	0.00531291	-0.0350928
HG00337	2	0.0693232	0.0026895	-0.00124504	-0.0215454	-0.0177939	0.0221297	-0.0144607	-0.0010411	-0.0739743	0.0360901
HG00338	1	0.0851609	0.0221687	0.000129088	-0.0117903	-0.028596	-0.000684406	0.0328865	-0.0441819	0.010026	-0.0308749
HG00339	2	0.0765311	0.0266915	0.003415	0.00137676	-0.0239472	-0.00953031	0.0302451	0.055022	-0.014973	-0.0502891
HG00341	1	0.0496077	0.0368708	0.00433251	-0.0161646	0.0229948	-0.0269335	0.0160777	0.000593182	-0.068147	0.00372068
HG00342	1	0.0933614	0.0458615	0.0200582	-0.00113024	0.0131261	-0.0418078	0.016359	-0.0240659	-0.00245369	0.00731337
HG00343	2	0.085487	0.0372341	-0.00681249	0.011362	0.0153032	0.0253262	-0.0140794	-0.0100663	0.0370687	0.049362
HG00344	2	0.0447581	-0.00908755	-0.0191852	-0.0164668	-0.0125244	-0.00369021	0.0696647	0.0853609	-0.0852195	-0.00813501
HG00345	1	0.0824052	0.0347065	-0.00173612	0.00514705	0.00345475	0.012932	0.0384057	-0.0635853	0.0632765	0.0405625
HG00346	2	0.0735545	0.0242542	0.00271774	0.00694354	0.0480495	0.0693776	0.0125587	-0.00708131	-0.0343252	0.0338121
HG00349	2	0.0915058	0.0289903	0.0055165	-0.0497386	0.00137417	0.000770268	0.0178737	0.0449402	-0.0364926	-0.00494698
HG00350	2	0.0456035	-0.0153738	-0.0113311	-0.0146329	0.0261608	0.0276914	0.0333139	0.0460617	0.0018161	0.000749295
HG00351	1	0.0850577	0.0423011	0.00150934	0.000734414	0.00174835	-0.00842568	-0.00844441	-0.0846362	0.0139225	0.035513
HG00353	2	0.0836609	0.0270915	0.00593146	-0.0202496	0.0163686	-0.00910536	-0.00601227	0.0223959	-0.0463602	0.0308457
HG00355	2	0.0728756	0.0158979	-0.0109172	-0.00477988	-0.00475251	0.0118529	0.000293473	-0.0116286	-0.0106887	-0.0501397
HG00356	2	0.0788224	0.0278617	0.00865035	-0.0134238	0.0150283	0.00283819	-0.00100925	0.0151993	0.0185881	0.0418463
HG00357	2	0.0793804	0.0345875	0.011982	-0.00758681	-0.0364799	-0.0246341	0.00707097	0.0348289	-0.0307541	0.0342933
HG00358	1	0.110111	0.0692157	0.0272459	-0.015973	-0.042528	0.0209433	-0.0319935	0.015103	0.0529238	0.0157302
HG00360	1	0.0729397	0.0188354	0.00292908	0.00501495	0.00225826	0.00330312	0.0114162	0.0784908	-0.0411532	0.033497
HG00361	2	0.105489	0.0534326	0.0109246	0.00206892	-0.0364035	0.00198881	0.0738134	0.0170953	0.0400722	0.0650371
HG00362	2	0.0736075	0.00871006	0.00908837	0.0235849	0.010076	0.00122662	0.019904	0.0394156	-0.0489613	0.00346022
HG00364	2	0.0818016	0.0315018	0.0225637	0.00530719	-0.00811806	-0.0061472	-0.0156659	0.050275	0.0256307	-0.0278366
HG00365	2	0.0968149	0.0563417	-0.00969277	0.016725	-0.00375532	-0.0168108	0.0161361	-0.0426777	0.08228	0.00480557
HG00366	1	0.0811132	0.0319647	-0.00599511	0.000659787	0.0215839	-0.0226208	-0.0253917	-0.0370408	-0.0179808	0.0479418
HG00367	2	0.0737538	0.031491	-0.00719994	0.0124955	-0.0231442	-0.0208646	-0.00510471	0.0037955	0.0183752	0.088289
HG00368	2	0.10787	0.062606	0.0151774	-0.00598633	-0.0278557	0.011897	0.0272807	0.0707023	-0.0137841	0.0399746
HG00369	1	0.091147	0.0433525	0.0076565	-0.0160853	-0.010632	-0.0261737	-0.00323204	-0.0341712	0.000315483	0.00372939
HG00371	1	0.0803949	0.0331028	0.00343515	0.00217335	0.0312369	-0.0370177	0.0200209	0.00324031	0.00526181	-0.0293038
HG00372	1	0.0815792	0.027661	-0.00940878	-0.00370719	0.0281433	0.0150364	-0.0050408	0.0351284	0.0803083	-0.0123299
HG00373	2	0.0954059	0.0490689	0.00811074	-0.0171294	-0.0184809	-0.0106271	-0.0296951	0.0689262	0.00481005	0.0422653
HG00375	1	0.0886838	0.0372382	0.0235052	0.00451143	-0.0174342	0.0134659	0.0310812	-0.0183974	-0.00642488	-0.00484185
HG00376	2	0.0697263	0.0116286	0.0165479	0.00944147	0.0136354	0.0194019	-0.0275977	-0.00164767	-0.0545718	-0.0291181
HG00378	2	0.0847796	0.0339504	0.00401358	-0.00295997	-0.00600863	0.0118431	0.0178881	-0.000599275	0.0182131	0.0381206
HG00379	2	0.0803328	0.020763	-0.00643386	0.000392276	-0.0398674	0.00147181	0.0625548	0.0694307	0.0320162	-0.0285413
HG00380	2	0.0546902	-0.00729384	-0.0180829	0.0131539	0.0441771	-0.0262114	0.025891	0.00535696	-0.0146361	-0.0408729
HG00381	2	0.0839616	0.034039	0.0043369	0.0107973	-0.00895694	0.041064	0.0351598	0.025095	-0.00803435	-0.0499558
HG00382	1	0.0945294	0.0530378	0.00892203	0.00777717	-0.0109054	0.0184107	0.0259119	0.00823121	0.0596562	0.0111536
HG00383	2	0.0992887	0.0540622	0.00699796	-0.00242742	0.0219778	0.00627962	0.00411689	-0.0661409	0.0186903	-0.00571566
HG00384	2	0.0817479	0.0267003	-0.000160427	0.000893104	0.00602576	-0.0133452	-0.0486708	-0.00657825	0.038617	-0.0288849
HG01334	1	0.00031909	-0.0537371	-0.0213701	0.0170796	0.021411	-0.00384369	0.0424458	0.0315263	0.0100972	-0.083372
HG01500	1	-0.0333655	0.0282861	0.0790466	-0.00148443	0.0194179	-0.0127813	-0.0209446	-0.0379089	-0.0535514	0.00200688
HG01501	2	-0.0286586	0.0215292	0.0730327	-0.0101985	0.0154533	0.0050274	0.0206238	0.00121526	0.00580594	-0.0464678
HG01503	1	-0.0342077	0.014513	0.0818632	-0.00158412	0.0387062	-0.0175255	-0.0468604	-0.00431466	-0.00404142	0.0410032
HG01504	2	-0.0376622	0.0250487	0.0898372	0.00128994	-0.0293147	0.0552393	-0.0240632	-0.0207441	-0.0222658	0.0471979
HG01506	1	-0.0347972	0.00338504	0.0627057	-0.00236241	0.00911115	0.0376207	-0.0887732	-0.0559308	0.054074	-0.0109796
HG01507	2	-0.0339172	0.011787	0.0814038	-0.0177772	-0.00301473	0.0175022	0.00455957	0.0139162	0.0245188	0.0318769
HG01509	1	-0.0352315	0.0213152	0.0729603	0.00389357	-0.0148714	-0.0723062	0.00260974	-0.0610186	-0.0378454	-0.0229018
HG01510	2	-0.0335542	0.0119036	0.0648647	0.0196449	0.0104943	-0.000542566	0.0163891	-0.0846012	0.0544551	-0.0434586
HG01512	1	-0.0310663	0.00449843	0.106427	-0.00563315	-0.000270234	0.000664177	0.00523538	-0.0331634	0.0175278	-0.0231961
