IID	Sex	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
HG01280	1	0.0232296	0.0652656	0.0686817	0.0623281	0.0812117	0.0695831	-0.0556462	-0.038966	-0.02348	0.0152943
HG01281	2	0.0271767	0.0630441	0.0609316	0.0326039	0.00101711	-0.0579157	0.0627059	-0.0285349	0.0368312	0.0334675
HG01284	2	0.0345144	0.0437722	0.070891	0.0407585	-0.136336	-0.113657	0.0352927	0.0392362	-0.0107491	0.0694391
HG01286	1	0.0534891	-0.0865816	-0.0299185	-0.00265039	-0.0610229	0.224219	0.0610951	0.116507	-0.139406	-0.0432943
HG01302	1	0.0428384	-0.0144777	-0.0901005	-0.00999909	0.143005	-0.0849302	-0.00850518	0.0375353	-0.0421787	-0.00565808
HG01303	2	0.043342	-0.0193757	-0.0857201	-0.0125657	0.0892628	-0.00191526	0.0911426	0.117207	0.0728237	-0.0719673
HG01305	1	0.0444396	-0.0324014	-0.0468245	0.0093282	0.0601771	0.061608	-0.0241826	0.00282183	0.0181032	0.00864611
HG01308	1	0.0509692	-0.0758485	-0.0612199	-0.000543361	0.124229	-0.143003	0.123343	-0.0940411	-0.073866	-0.184522
HG01311	1	0.0579598	0.0180354	-0.0442929	-0.00110123	-0.0467108	0.0800138	-0.00439702	-0.0610316	0.0138317	0.0169292
HG01312	2	0.0514051	-0.016788	-0.0451845	0.00328231	-0.0327017	0.122523	0.0222378	-0.0680234	0.0767198	0.0139797
HG01323	2	0.0472321	0.00132948	-0.0495853	-0.00597106	-0.0309375	0.113726	0.0288665	-0.0543825	-0.0227565	0.0789363
HG01325	1	0.0585566	-0.0122654	-0.0512267	0.00271292	-0.0117301	-0.0963484	-0.0168504	0.0152706	0.00915281	0.0284802
HG01326	2	0.043067	-0.00407567	-0.0675001	-0.0204119	0.0244119	-0.0678677	0.0304989	-0.0334742	-0.052238	0.0930987
HG01341	1	-0.0337129	0.028553	0.0346147	-0.0139097	0.0324175	-0.00861694	0.0604737	0.0119536	-0.00677884	0.000466773
