IID	Sex	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
HG03643	2	0.0260115	0.00465635	-0.00796597	-0.0416609	0.00277527	-0.0278593	-0.00501737	0.0318874	0.0257612	-0.0139834
HG03644	1	0.0261879	0.00465314	-0.005658	-0.0324915	-0.00711921	-0.0272955	-0.0169008	0.00379551	0.0353282	0.023759
HG03645	2	0.039181	-0.00498644	-0.0138292	-0.0337624	-0.0113149	-0.0126741	-0.00175835	0.00158462	0.0368498	0.0532507
HG03646	1	0.0348584	0.0033407	-0.0114782	-0.0200199	-0.00826178	-0.007537	-0.000613292	-0.0109098	0.0200828	0.0118112
HG03649	1	-0.0257431	0.0341873	-0.00265186	0.0035616	0.0218722	0.0024863	0.0125486	0.00179552	-0.0326552	-0.0225859
HG03652	1	-0.00930324	0.0193177	-0.00565055	0.00116126	0.015153	-0.00620158	-0.000453599	-0.00178777	-0.0174892	-0.0162222
HG03653	2	-0.0168005	0.0255578	-0.0011841	0.00101786	0.00937419	-0.00204659	0.00732331	0.00354833	-0.00262503	-0.0197513
HG03660	1	0.0239765	0.0421261	0.128462	0.0882363	-0.0224005	0.0371162	-0.031334	0.0206089	0.00975013	0.0179305
HG03663	1	0.0392863	0.0385602	0.126866	0.0925007	-0.0323124	0.0411817	-0.0279123	0.0150176	0.0173135	0.0133252
HG03667	1	0.0295872	0.00257862	-0.00441266	-0.00703171	-0.00455057	-0.0132084	0.0243676	-0.011103	0.00573695	0.00110148
HG03668	2	-0.0134398	0.028046	-0.00803366	-0.00598689	0.00797363	-0.00759437	0.013369	-0.0114589	-0.00942673	-0.0214343
HG03672	1	0.0214394	0.00430873	-0.00974667	-0.0393143	-0.00422606	-0.0111828	-0.0113358	0.0383063	0.053515	0.00105073
HG03673	2	0.0268702	0.00858024	-0.0129701	-0.0243732	0.000310403	-0.0145839	-0.0023981	-0.00829574	0.0254909	-0.0030397
HG03679	1	0.0301467	0.00366357	-0.0181964	-0.0255973	0.00303011	-0.000539245	-0.0012985	0.0356236	0.0200841	0.000866319
HG03680	1	0.0282737	0.00747375	-0.01727	-0.0259417	-0.00619869	-0.0141942	-0.00430303	0.0159254	0.0395642	0.00403084
HG03681	1	0.0244969	0.000598445	-0.00560819	-0.0337099	0.00207162	-0.01464	-0.00794085	0.00549148	0.026323	-0.0057773
HG03684	2	0.0603547	-0.0219334	0.0143751	-0.0214109	-0.0209136	-0.0176415	0.00277054	0.00576987	0.0293506	-0.00894283
HG03685	1	0.0374492	-0.00447352	-0.00718102	-0.0355589	-0.003165	-0.016337	-0.00124362	0.0147183	0.0358258	0.0109939
HG03686	1	0.0512347	-0.0128626	0.00780791	-0.0287327	-0.0161739	-0.0153229	-0.000151318	0.0114995	0.0353901	-0.0124569
HG03687	1	0.0267606	0.00487004	-0.011761	-0.027679	-0.00874784	-0.0103607	0.00453849	0.0180904	0.0377857	-0.0229522
HG03689	2	0.0272851	-0.00619914	-0.0112502	-0.0286247	-0.00570164	-0.0144279	-0.00498844	0.0170286	0.0553625	0.00959405
HG03690	2	0.0325415	0.00305137	-0.0139068	-0.0316761	0.000277455	-0.00615545	-0.00559961	0.0219124	0.0497807	0.0205497
HG03691	1	0.0374494	-0.00587268	0.00285291	-0.0293513	-0.00185338	-0.0131109	-0.00673143	0.00432335	0.028485	0.0038575
HG03692	2	0.0455212	-0.0129858	-0.00231401	-0.041144	-0.00773596	-0.0283671	-0.00379157	0.00434777	0.0677314	0.350127
HG03693	1	0.0403106	-0.00923567	-0.0077882	-0.0292503	-0.00151634	-0.0160163	0.00124041	-0.000646184	0.0333454	0.0568064
HG03694	1	0.0034871	0.0236837	0.0043908	-0.00709799	0.00617794	0.000139481	0.0266984	-0.0169782	-0.0159334	-0.00916085
HG03695	1	0.0310414	-0.00118788	-0.00728132	-0.0324059	-0.00630436	-0.0155357	0.000549898	0.0143918	0.0477833	0.00522547
HG03696	1	0.0308245	0.000622832	-0.0130723	-0.0387615	-5.50601e-05	-0.0366721	-0.0273415	0.0290779	0.0675912	0.0618049
HG03697	1	0.0355374	0.00400012	-0.00289152	-0.0274929	0.00391467	-0.0249877	-0.0131774	0.0219749	0.0377034	0.0283404
HG03698	2	0.0285408	0.0041439	-0.00548427	-0.0244843	-0.00789399	-0.021449	0.00763586	0.00261817	0.0263264	0.0137085
HG03702	1	0.00379306	0.0104154	-0.00153936	-0.000885864	0.0171614	-0.00683395	0.017176	-0.017131	-0.00987221	-0.00391786
HG03703	2	-0.00403593	0.0230825	0.00903877	0.00209169	0.00473428	-0.00801204	0.00992299	-0.00830938	-0.0138608	0.00741001
HG03705	1	0.0317469	0.0428664	0.139281	0.0958659	-0.0326249	0.02852	-0.0312567	0.0237554	0.0203157	0.00764057
HG03706	2	0.0287786	0.0502578	0.118989	0.0874369	-0.0192881	0.0366112	-0.0305103	0.0387695	0.0111712	-0.00768523
HG03708	1	-0.0230159	0.0333199	-0.0114981	0.00186226	0.0252889	-0.00827066	0.0171876	-0.0113077	-0.0179959	0.009588
HG03709	2	0.00265525	0.0207504	0.0116949	0.0082808	0.00936981	-0.00107867	0.0186869	-0.0212751	-0.0139838	-0.0218621
HG03711	1	0.0300965	0.00848465	-0.0207829	-0.0410774	-0.00861686	-0.0229399	-0.0279185	0.0186528	0.0887187	-0.00215465
HG03713	1	-0.0083673	0.0322333	-0.00833606	-0.00573293	0.0214187	-0.000971687	0.00479223	-0.00480323	0.00948582	-0.0200854
HG03714	2	-0.0162311	0.0318357	-0.0181254	0.00405425	0.0211365	-0.00697711	-0.00226862	0.00198068	-0.0034732	-0.0227725
HG03716	1	-0.0167699	0.0340397	-0.0208662	-0.00295026	0.0139875	-0.00308815	0.00244234	0.00528461	0.00911118	-0.0180538
HG03717	2	0.0588941	-0.0706797	-0.121808	0.155413	0.0385919	0.044399	-0.0193148	0.00599096	-0.00847808	0.0130022
HG03718	1	0.0612284	-0.0728458	-0.119066	0.162274	0.0362698	0.0449024	-0.0228478	0.00956476	-0.0118151	0.0068936
HG03720	1	0.0342924	-0.0085371	-0.00688997	-0.0081118	-0.007137	-0.00730432	0.0131493	-0.00656244	0.0175923	-0.00907525
HG03722	2	0.0411118	-0.0187086	-0.0108925	-0.00703577	-0.00816325	-0.0020582	0.000856055	-0.00107417	0.020866	-0.0224881
