IID	Sex	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
HG03796	2	-0.0114674	-0.0016322	-0.0302867	0.0117606	-0.00220851	-0.00123581	-0.0037133	-0.000223579	0.00681232	0.000117114
HG03800	1	-0.0115104	-0.00209916	-0.0339015	0.0148752	-0.00444786	-0.000134699	-0.00317029	0.000210512	0.0180815	0.000988013
HG03802	2	-0.0113894	0.00179339	-0.0341525	0.0137885	-0.00235483	0.000421225	-0.00408368	-0.00268871	0.0149712	-0.00110669
HG03803	1	-0.0114027	0.00212611	-0.0320089	0.0132097	0.000165498	0.0011239	-0.00289061	0.000840936	0.00655601	0.000174665
HG03805	2	-0.0112395	0.00172885	-0.0322762	0.0140478	-0.000327993	0.000231092	-0.0035773	0.000107191	0.0123753	0.00266868
HG03808	2	-0.0115127	0.0005895	-0.0302219	0.0122561	-0.000828107	0.000366174	-0.00256181	0.000911475	0.0157512	0.00194076
HG03809	1	-0.0114596	0.00158125	-0.0324963	0.0148162	-0.00444305	-0.000210816	-0.000304528	0.000150848	0.0104348	-0.000258508
HG03812	1	-0.0115468	0.00100014	-0.03178	0.0123488	-0.0023469	-0.000305904	-0.000109932	0.00101086	0.00537109	0.00217867
HG03814	2	-0.011762	7.4084e-05	-0.0310848	0.0124568	-0.00310049	0.000685022	-0.00463469	-0.00181574	0.00570488	-0.0015193
HG03815	1	-0.0116165	0.000437726	-0.0304817	0.0129569	-0.00459662	-0.00128674	-0.00340173	-0.00033298	0.00663587	-0.000837498
HG03817	2	-0.011672	0.00148709	-0.0327638	0.0133688	-0.000387514	-0.00088141	-0.00396888	-0.00218073	0.0156252	-0.00025276
HG03821	1	-0.0110937	0.00194113	-0.0328475	0.0138474	0.000745817	-0.0012679	-0.00366303	-0.000542833	0.00781428	0.00113243
HG03823	2	-0.0116155	0.0016781	-0.0331044	0.014957	-0.00424063	0.000469214	-0.00443643	-0.000323772	0.0122081	0.00217761
HG03824	1	-0.011478	-0.000110624	-0.0305538	0.013131	-0.000992858	-0.000746726	-0.00674729	0.000289921	0.00673357	-0.00225149
