IID	Sex	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
NA19026	1	-0.0348208	0.0521911	-0.0706847	-0.000459648	0.00313587	-0.00478416	-0.0047068	0.000350194	-0.0250124	0.0153188
NA19027	1	-0.04621	0.0509337	-0.0787093	-0.00851342	-0.0026714	0.0290006	0.00110963	-0.00348832	-0.0258518	0.0251925
NA19028	1	-0.0397403	0.0478451	-0.0733657	0.00245231	0.00595002	-0.00310597	-0.00656505	-0.00468715	-0.00906661	-0.0004793
NA19030	2	-0.0313952	0.0483285	-0.0650597	-0.000733745	-0.00157655	-0.00361885	-0.000396619	0.0016409	-0.014259	-0.00855144
NA19031	1	-0.0373767	0.0479337	-0.0622313	-0.00456295	0.000730852	0.00649113	-0.00639144	-0.000910641	-0.0163748	0.00270175
NA19035	1	-0.0325209	0.0538108	-0.059424	-0.00199268	0.00189381	-0.00169067	0.0111814	-0.00158865	-0.0150744	-0.00152106
NA19036	2	-0.0290672	0.0486983	-0.0638557	0.00454551	0.00158642	0.00653177	0.00315299	-0.00341519	-0.0146994	0.0124251
NA19037	2	-0.038076	0.0589347	-0.0763225	0.00163471	-0.00159558	0.0110973	-0.000709536	0.0100868	-0.0330552	0.0108871
NA19038	2	-0.0290339	0.0545834	-0.064093	-0.00232067	-0.000451841	-0.00876747	-0.00354661	0.000272504	-0.0114484	0.00743929
NA19041	1	-0.0334289	0.0499676	-0.0654096	-0.00577744	-0.00428116	-0.00254542	-0.00557867	-0.00442816	-0.00893512	0.000104776
NA19042	2	-0.0437436	0.0503888	-0.0782495	-0.00871069	-0.00132482	0.0232906	-0.00662647	-0.00141941	-0.0236784	0.0301935
NA19043	1	-0.0316557	0.0492414	-0.0663634	-0.000576411	0.00616306	-0.00572326	0.00445286	0.00251844	-0.0145364	0.00833899
NA19092	1	0.0183568	0.0226461	0.0280506	-0.00341833	0.00362488	-0.00260887	0.00319888	-0.00806818	0.00326251	0.00684352
NA19093	2	0.0158073	0.0246954	0.0334052	-0.00546775	0.00138938	0.00348167	-0.00308826	0.00855553	-0.00398233	-0.00264711
